Rank,player,Followers,Team,BPM
1,LeBron James,159756036,Los Angeles Lakers,6.5
2,Stephen Curry,56656402,Golden State Warriors,5.2
3,Russell Westbrook,23002587,Los Angeles Clippers,0.5
4,Kyrie Irving,20139518,Dallas Mavericks,4.9
6,Klay Thompson,17196006,Dallas Mavericks,-0.4
7,Giannis Antetokounmpo,16102562,Milwaukee Bucks,9.0
8,Kevin Durant,13409531,Phoenix Suns,4.0
9,Chris Paul,11764198,San Antonio Spurs,1.0
10,Damian Lillard,10366970,Milwaukee Bucks,2.1
11,Paul George,10249045,Philadelphia Sixers,3.2
13,Jimmy Butler,10001495,Miami Heat,4.6
15,Luka Doncic,9371472,Dallas Mavericks,9.9
19,Jayson Tatum,7144566,Boston Celtics,5.1
20,Devin Booker,5542640,Phoenix Suns,3.0
21,Zion Williamson,5224924,New Orleans Pelicans,3.8
22,Trae Young,5156244,Atlanta Hawks,2.6
23,Kyle Kuzma,4872490,Washington Wizards,-1.1
24,Karl-Anthony Towns,4327000,Minnesota Timberwolves,2.5
27,Jaylen Brown,4063645,Boston Celtics,0.7
28,Victor Wembanyama,4056478,San Antonio Spurs,5.2
29,D'Angelo Russell,3933331,Los Angeles Lakers,0.9
30,Donovan Mitchell,3817609,Cleveland Cavaliers,5.8
31,Anthony Edwards,3442965,Minnesota Timberwolves,3.3
32,Shai Gilgeous-Alexander,3412334,Oklahoma City Thunder,9.0
34,DeMar DeRozan,3396878,Sacramento Kings,1.8
35,Jalen Green,2479423,Houston Rockets,-0.5
37,Jordan Poole,2298255,Washington Wizards,-3.9
39,Brandon Ingram,2168287,New Orleans Pelicans,1.2
40,Andrew Wiggins,2131319,Golden State Warriors,-2.5
41,Jordan Clarkson,2044606,Utah Jazz,-4.5
44,Dejounte Murray,1486140,New Orleans Pelicans,1.7
45,De'Aaron Fox,1483147,Sacramento Kings,2.7
46,Alex Caruso,1440411,Oklahoma City Thunder,2.5
47,Jamal Murray,1361336,Denver Nuggets,4.1
48,Bradley Beal,1359383,Phoenix Suns,0.4
50,Kentavious Caldwell-Pope,1329861,Orlando Magic,-1.4
51,Austin Reaves,1304617,Los Angeles Lakers,0.4
54,Aaron Gordon,1203135,Denver Nuggets,1.3
57,Paolo Banchero,1100783,Orlando Magic,1.3
59,Bam Adebayo,994226,Miami Heat,2.4
60,Julius Randle,983464,New York Knicks,1.9
62,Tyrese Haliburton,974057,Indiana Pacers,6.9
63,Harrison Barnes,967570,San Antonio Spurs,-1.8
65,Rui Hachimura,883285,Los Angeles Lakers,-0.9
66,Josh Hart,881306,New York Knicks,0.0
67,Chet Holmgren,866413,Oklahoma City Thunder,3.4
68,Rudy Gobert,863156,Minnesota Timberwolves,1.8
70,P.J. Washington,835789,Dallas Mavericks,-2.1
71,Jrue Holiday,787085,Boston Celtics,2.1
72,Al Horford,753288,Boston Celtics,3.6
73,Tyrese Maxey,747062,Philadelphia Sixers,3.1
75,Scottie Barnes,721796,Toronto Raptors,3.7
76,Pascal Siakam,717797,Indiana Pacers,1.9
78,Cole Anthony,685425,Orlando Magic,0.1
80,Alperen Sengun,666309,Houston Rockets,4.9
81,Fred VanVleet,656164,Houston Rockets,3.4
82,Jalen Brunson,641292,New York Knicks,5.8
83,Jonathan Kuminga,612557,Golden State Warriors,-0.4
84,Cade Cunningham,612381,Detroit Pistons,0.3
85,Clint Capela,602468,Atlanta Hawks,0.1
86,Mike Conley,596009,Minnesota Timberwolves,3.4
87,Malik Monk,569157,Sacramento Kings,0.6
89,Scoot Henderson,557595,Portland Trail Blazers,-5.8
91,Buddy Hield,543099,Golden State Warriors,0.4
95,Tim Hardaway Jr.,506529,Detroit Pistons,-2.9
96,Darius Garland,500031,Cleveland Cavaliers,-1.0
97,Josh Giddey,492224,Chicago Bulls,1.5
100,Tobias Harris,477796,Detroit Pistons,0.9
101,Jalen Suggs,475986,Orlando Magic,1.0
102,Mikal Bridges,467727,New York Knicks,-0.4
104,Deandre Ayton,455095,Portland Trail Blazers,0.3
105,Lauri Markkanen,447654,Utah Jazz,3.6
112,Coby White,410905,Chicago Bulls,-0.7
114,Jeremy Sochan,406373,San Antonio Spurs,-3.4
116,Payton Pritchard,404278,Boston Celtics,1.0
118,Grayson Allen,378852,Phoenix Suns,1.3
120,Derrick White,369175,Boston Celtics,3.8
125,Domantas Sabonis,318757,Sacramento Kings,6.5
126,Ausar Thompson,315349,Detroit Pistons,-2.2
127,Bobby Portis,310591,Milwaukee Bucks,-0.8
128,Myles Turner,309349,Indiana Pacers,0.9
130,Naz Reid,305954,Minnesota Timberwolves,1.5
131,Norman Powell,303062,Los Angeles Clippers,-0.8
132,Obi Toppin,301110,Indiana Pacers,1.5
133,Duncan Robinson,296077,Miami Heat,-0.9
134,Grant Williams,295252,Charlotte Hornets,-2.6
137,Tre Jones,291386,San Antonio Spurs,-0.4
138,Nicolas Batum,289818,,-0.4
140,Immanuel Quickley,285246,Toronto Raptors,1.3
141,OG Anunoby,280090,New York Knicks,-0.6
142,Jarrett Allen,271031,Cleveland Cavaliers,3.0
146,Cameron Johnson,252012,Brooklyn Nets,0.4
148,Jalen Williams,250492,Oklahoma City Thunder,2.3
151,Eric Gordon,247990,Philadelphia Sixers,-1.7
153,Taurean Prince,242655,Milwaukee Bucks,-2.8
154,Caris LeVert,241355,Cleveland Cavaliers,0.2
155,Deni Avdija,239341,Portland Trail Blazers,-0.9
156,Christian Braun,239005,Denver Nuggets,-1.9
157,Caleb Martin,234393,Philadelphia Sixers,-2.0
158,Cam Thomas,234317,Brooklyn Nets,-1.2
161,Evan Mobley,224051,Cleveland Cavaliers,2.9
162,Anfernee Simons,221798,Portland Trail Blazers,0.2
163,Brandon Miller,220350,Charlotte Hornets,-2.6
164,Brandin Podziemski,219387,Golden State Warriors,-0.1
165,Reggie Jackson,218965,Charlotte Hornets,-3.2
167,Ayo Dosunmu,218049,Chicago Bulls,-0.8
169,Malik Beasley,211969,Detroit Pistons,-1.8
170,Luguentz Dort,211881,Oklahoma City Thunder,-1.6
172,Jerami Grant,209804,Portland Trail Blazers,-0.1
174,Dillon Brooks,208001,Houston Rockets,-3.6
177,John Collins,196463,Utah Jazz,-0.9
178,Josh Green,193131,Charlotte Hornets,-2.7
179,Keyonte George,190396,Utah Jazz,-4.4
183,Bennedict Mathurin,184350,Indiana Pacers,-3.4
185,Pat Connaughton,180990,Milwaukee Bucks,-1.6
189,Kyle Anderson,177249,Golden State Warriors,1.1
191,Kelly Olynyk,174831,Toronto Raptors,1.8
193,Franz Wagner,173081,Orlando Magic,1.2
196,Max Strus,166127,Cleveland Cavaliers,-0.6
200,Ivica Zubac,163940,Los Angeles Clippers,0.8
