Rank,Team,Followers,Wins
1,Golden State Warriors,32400000,46
2,Los Angeles Lakers,24600000,47
3,Cleveland Cavaliers,16600000,48
4,Chicago Bulls,10100000,39
5,Boston Celtics,8300000,64
6,Miami Heat,6700000,46
7,Houston Rockets,6300000,41
8,Oklahoma City Thunder,6000000,57
9,Milwaukee Bucks,5500000,49
10,Los Angeles Clippers,5300000,51
11,San Antonio Spurs,5200000,22
12,Brooklyn Nets,4800000,32
13,Dallas Mavericks,4500000,50
14,Philadelphia 76ers,4400000,47
15,Toronto Raptors,4100000,25
16,New York Knicks,4100000,50
17,Phoenix Suns,3600000,49
18,Minnesota Timberwolves,3600000,56
19,Indiana Pacers,3200000,47
20,Portland Trailblazers,2900000,21
21,New Orleans Pelicans,2800000,49
22,Denver Nuggets,2800000,57
23,Atlanta Hawks,2600000,36
24,Charlotte Hornets,2400000,21
25,Sacramento Kings,2200000,46
26,Memphis Grizzlies,2000000,27
27,Orlando Magic,1900000,47
28,Washington Wizards,1500000,15
29,Detroit Pistons,1500000,14
30,Utah Jazz,1400000,31
